old_table,new_table,module,field_name,status,old_type,old_raw_type,old_length,old_not_null,old_has_default,old_default,old_unique,old_pk,old_auto_inc,new_type,new_raw_type,new_length,new_not_null,new_has_default,new_default,new_unique,new_pk,new_auto_inc,type_match,not_null_match,default_match,unique_match,pk_match
t_user,edu_user,user,id,matched,bigint,bigint,,yes,yes,0,no,yes,yes,integer,serial,,yes,no,,no,yes,yes,yes,yes,no,yes,yes
t_user,edu_user,user,username,missing_in_new,varchar,varchar(100),100,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,password,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,200,no,no,,no,no,no,yes,no,no,yes,yes
t_user,edu_user,user,code,missing_in_new,varchar,varchar(30),30,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,name,matched,varchar,varchar(30),30,yes,yes,,no,no,no,varchar,varchar,100,no,no,,no,no,no,yes,no,no,yes,yes
t_user,edu_user,user,status,matched,varchar,varchar(30),30,yes,yes,,no,no,no,integer,integer,,yes,yes,1,no,no,no,no,yes,yes,yes,yes
t_user,edu_user,user,gender,missing_in_new,varchar,varchar(2),2,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,telephone,missing_in_new,varchar,varchar(20),20,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,mobile,matched,varchar,varchar(20),20,yes,yes,,no,no,no,varchar,varchar,20,no,no,,no,no,no,yes,no,no,yes,yes
t_user,edu_user,user,email,missing_in_new,varchar,varchar(30),30,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,birthday,missing_in_new,date,date,,no,yes,NULL,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,id_card,missing_in_new,varchar,varchar(20),20,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,nation,missing_in_new,varchar,varchar(20),20,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,native_place,missing_in_new,varchar,varchar(1000),1000,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,id_card_address,missing_in_new,varchar,varchar(100),100,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,current_address,missing_in_new,varchar,varchar(1000),1000,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,marital_status,missing_in_new,varchar,varchar(10),10,yes,yes,,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,contract_start_date,missing_in_new,date,date,,no,yes,NULL,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,contract_end_date,missing_in_new,date,date,,no,yes,NULL,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_user,edu_user,user,company_id,new_in_new,,,,,,,,,,integer,integer,,no,no,,no,no,no,,,,,
t_user,edu_user,user,department_id,new_in_new,,,,,,,,,,integer,integer,,no,no,,no,no,no,,,,,
t_user,edu_user,user,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_user,edu_user,user,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
users,edu_user,user,username,missing_in_new,varchar,varchar(50),50,yes,no,,no,yes,no,,,,,,,,,,,,,,
users,edu_user,user,password,matched,varchar,varchar(500),500,yes,no,,no,no,no,varchar,varchar,200,no,no,,no,no,no,yes,no,yes,yes,yes
users,edu_user,user,enabled,missing_in_new,boolean,boolean,,yes,no,,no,no,no,,,,,,,,,,,,,,
users,edu_user,user,id,new_in_new,,,,,,,,,,integer,serial,,yes,no,,no,yes,yes,,,,,
users,edu_user,user,mobile,new_in_new,,,,,,,,,,varchar,varchar,20,no,no,,no,no,no,,,,,
users,edu_user,user,name,new_in_new,,,,,,,,,,varchar,varchar,100,no,no,,no,no,no,,,,,
users,edu_user,user,company_id,new_in_new,,,,,,,,,,integer,integer,,no,no,,no,no,no,,,,,
users,edu_user,user,department_id,new_in_new,,,,,,,,,,integer,integer,,no,no,,no,no,no,,,,,
users,edu_user,user,status,new_in_new,,,,,,,,,,integer,integer,,yes,yes,1,no,no,no,,,,,
users,edu_user,user,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
users,edu_user,user,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_user_job,user_jobs,user,id,matched,bigint,bigint,,yes,no,,no,yes,yes,integer,serial,,yes,no,,no,yes,yes,yes,yes,yes,yes,yes
t_user_job,user_jobs,user,user_id,matched,bigint,bigint,,yes,no,,no,no,no,integer,integer,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_user_job,user_jobs,user,job_id,matched,bigint,bigint,,yes,no,,no,no,no,integer,integer,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_user_job,user_jobs,user,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_user_job,user_jobs,user,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_user_job,user_jobs,user,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
order_order,orders,order,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
order_order,orders,order,no,missing_in_new,varchar,varchar(50),50,yes,no,,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,status,matched,varchar,varchar(50),50,yes,no,,no,no,no,varchar,varchar,16,yes,yes,'pending',no,no,no,yes,yes,no,yes,yes
order_order,orders,order,remark,missing_in_new,varchar,varchar(2000),2000,yes,yes,,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,freight_amount,missing_in_new,decimal,decimal(14, 2),,yes,yes,0.00,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,item_amount,missing_in_new,decimal,decimal(14, 2),,yes,no,,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,payment_amount,missing_in_new,decimal,decimal(14, 2),,yes,no,,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,user_id,matched,bigint,bigint,,yes,no,,no,no,no,uuid,uuid,,yes,no,,no,no,no,no,yes,yes,yes,yes
order_order,orders,order,department_id,missing_in_new,bigint,bigint,,yes,no,,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,company_id,missing_in_new,bigint,bigint,,yes,no,,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
order_order,orders,order,order_no,new_in_new,,,,,,,,,,varchar,varchar,64,yes,no,,yes,no,no,,,,,
order_order,orders,order,plan_id,new_in_new,,,,,,,,,,uuid,uuid,,no,no,,no,no,no,,,,,
order_order,orders,order,amount,new_in_new,,,,,,,,,,integer,integer,,yes,no,,no,no,no,,,,,
order_order,orders,order,currency,new_in_new,,,,,,,,,,varchar,varchar,8,yes,yes,'CNY',no,no,no,,,,,
order_order,orders,order,payment_method,new_in_new,,,,,,,,,,varchar,varchar,16,no,no,,no,no,no,,,,,
order_order,orders,order,order_type,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
order_order,orders,order,product_id,new_in_new,,,,,,,,,,varchar,varchar,64,no,no,,no,no,no,,,,,
order_order,orders,order,paid_at,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
order_order,orders,order,expires_at,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
order_order,orders,order,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
order_order,orders,order,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
zhs_order,orders,order,id,matched,bigint,Long,,no,no,,no,no,no,uuid,uuid,,yes,yes,random(),no,yes,no,no,no,no,yes,no
zhs_order,orders,order,user_id,matched,integer,Integer,,no,no,,no,no,no,uuid,uuid,,yes,no,,no,no,no,no,no,yes,yes,yes
zhs_order,orders,order,out_trade_no,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,open_id,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,amount,matched,integer,Integer,,no,no,,no,no,no,integer,integer,,yes,no,,no,no,no,yes,no,yes,yes,yes
zhs_order,orders,order,status,matched,integer,Integer,,no,no,,no,no,no,varchar,varchar,16,yes,yes,'pending',no,no,no,no,no,no,yes,yes
zhs_order,orders,order,payment_status,missing_in_new,integer,Integer,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,created_at,matched,bigint,Long,,no,no,,no,no,no,timestamp,timestamp,,yes,yes,now(),no,no,no,no,no,no,yes,yes
zhs_order,orders,order,paid_at,matched,bigint,Long,,no,no,,no,no,no,timestamp,timestamp,,no,no,,no,no,no,no,yes,yes,yes,yes
zhs_order,orders,order,product_id,matched,bigint,Long,,no,no,,no,no,no,varchar,varchar,64,no,no,,no,no,no,no,yes,yes,yes,yes
zhs_order,orders,order,order_type,matched,integer,Integer,,no,no,,no,no,no,integer,integer,,yes,yes,0,no,no,no,yes,no,no,yes,yes
zhs_order,orders,order,refund_time,missing_in_new,timestamp,Date,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,refund_reason,missing_in_new,timestamp,Date,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,activity_id,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,product_identity_id,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,product_name,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,images,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,platform_type,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,pay_type,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,order_no,new_in_new,,,,,,,,,,varchar,varchar,64,yes,no,,yes,no,no,,,,,
zhs_order,orders,order,plan_id,new_in_new,,,,,,,,,,uuid,uuid,,no,no,,no,no,no,,,,,
zhs_order,orders,order,currency,new_in_new,,,,,,,,,,varchar,varchar,8,yes,yes,'CNY',no,no,no,,,,,
zhs_order,orders,order,payment_method,new_in_new,,,,,,,,,,varchar,varchar,16,no,no,,no,no,no,,,,,
zhs_order,orders,order,expires_at,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
zhs_order,orders,order,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_order_item,edu_order_items,order,id,matched,bigint,bigint,,yes,no,,no,yes,yes,integer,serial,,yes,no,,no,yes,yes,yes,yes,yes,yes,yes
t_order_item,edu_order_items,order,order_id,matched,bigint,bigint,,yes,no,,no,no,no,integer,integer,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_order_item,edu_order_items,order,item_id,missing_in_new,varchar,varchar(100),100,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,title,missing_in_new,varchar,varchar(500),500,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,image,missing_in_new,varchar,varchar(2000),2000,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,original_price,missing_in_new,decimal,decimal(14, 2),,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,price,matched,decimal,decimal(14, 2),,yes,no,,no,no,no,decimal,decimal,,no,no,,no,no,no,yes,no,yes,yes,yes
t_order_item,edu_order_items,order,quantity,matched,integer,int,,yes,no,,no,no,no,integer,integer,,no,yes,1,no,no,no,yes,no,no,yes,yes
t_order_item,edu_order_items,order,payment_amount,missing_in_new,decimal,decimal(14, 2),,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,product_id,new_in_new,,,,,,,,,,integer,integer,,no,no,,no,no,no,,,,,
t_order_item,edu_order_items,order,product_name,new_in_new,,,,,,,,,,varchar,varchar,255,no,no,,no,no,no,,,,,
t_order_item,edu_order_items,order,subtotal,new_in_new,,,,,,,,,,decimal,decimal,,no,no,,no,no,no,,,,,
t_order_item,edu_order_items,order,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_group,member_groups,member,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_member_group,member_groups,member,name,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,100,yes,no,,no,no,no,yes,yes,no,yes,yes
t_member_group,member_groups,member,sort_order,missing_in_new,integer,int,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_member_group,member_groups,member,status,matched,varchar,varchar(30),30,yes,yes,enable,no,no,no,varchar,varchar,20,yes,yes,'active',no,no,no,yes,yes,yes,yes,yes
t_member_group,member_groups,member,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_group,member_groups,member,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_group,member_groups,member,description,new_in_new,,,,,,,,,,text,text,,no,no,,no,no,no,,,,,
t_member_group,member_groups,member,sort,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
t_member_group,member_groups,member,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_group,member_groups,member,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_post,member_posts,member,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_member_post,member_posts,member,name,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,100,yes,no,,no,no,no,yes,yes,no,yes,yes
t_member_post,member_posts,member,sort_order,missing_in_new,integer,int,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_member_post,member_posts,member,status,matched,varchar,varchar(30),30,yes,yes,enable,no,no,no,varchar,varchar,20,yes,yes,'active',no,no,no,yes,yes,yes,yes,yes
t_member_post,member_posts,member,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_post,member_posts,member,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_post,member_posts,member,code,new_in_new,,,,,,,,,,varchar,varchar,50,no,no,,no,no,no,,,,,
t_member_post,member_posts,member,sort,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
t_member_post,member_posts,member,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_post,member_posts,member,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_tag,member_tags,member,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_member_tag,member_tags,member,name,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,100,yes,no,,no,no,no,yes,yes,no,yes,yes
t_member_tag,member_tags,member,sort_order,missing_in_new,integer,int,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_member_tag,member_tags,member,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_tag,member_tags,member,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_tag,member_tags,member,color,new_in_new,,,,,,,,,,varchar,varchar,20,no,no,,no,no,no,,,,,
t_member_tag,member_tags,member,sort,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
t_member_tag,member_tags,member,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_tag,member_tags,member,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_announcement,announcements,message,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_announcement,announcements,message,title,matched,varchar,varchar(2000),2000,yes,no,,no,no,no,varchar,varchar,255,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_announcement,announcements,message,content,matched,text,text,,yes,no,,no,no,no,text,text,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_announcement,announcements,message,status,missing_in_new,varchar,varchar(100),100,no,yes,NULL,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,publish_time,missing_in_new,timestamp,timestamp,,yes,no,,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,type,new_in_new,,,,,,,,,,varchar,varchar,32,yes,yes,'info',no,no,no,,,,,
t_announcement,announcements,message,is_pinned,new_in_new,,,,,,,,,,boolean,boolean,,yes,yes,false,no,no,no,,,,,
t_announcement,announcements,message,is_published,new_in_new,,,,,,,,,,boolean,boolean,,yes,yes,false,no,no,no,,,,,
